"","x","y","sst","bt","sal","mld","depth","chl"
"32",-6.7,61.9,-1.98673562625401,-0.0909255046183161,1.08100072792909,-0.687597011154469,NA,-0.244943207752278
"33",-6.5,61.9,-1.95090120902253,-0.228580977313417,0.960473888979241,-0.10551505268542,NA,-0.38318714207832
"34",-6.3,61.9,-1.77277811824833,-0.279816100350502,0.811213482649815,0.114844612500597,NA,-0.399301457023447
"35",-6.1,61.9,-1.58728596087107,-0.312852366049852,0.677685875410514,-0.0212175804491065,NA,-0.395216121997881
"36",-5.9,61.9,-1.54395067235514,-0.358642647638354,0.635076609385305,0.434799904203115,NA,-0.388292597679726
"37",-5.7,61.9,-1.54717177047688,-0.43316710905983,0.584644397755202,1.00433593361193,NA,-0.377193886868945
"38",-5.5,61.9,-1.53869596505032,-0.49208739419443,0.556545128973722,1.03996417074074,NA,-0.394152346867046
"39",-5.3,61.9,-1.46387065948552,-0.505418663807232,0.520180616380099,0.890318620429178,NA,-0.38643595140555
"40",-5.1,61.9,-1.41570456049031,-0.500342234473566,0.498529421210981,0.726891570469009,NA,-0.387412655047332
"41",-4.9,61.9,-1.43318528531912,-0.537833559899456,0.50670373924776,0.764802260492313,NA,-0.363530503772856
"42",-4.7,61.9,-1.43393148024633,-0.642638237183551,0.49406784243191,0.719780955766526,NA,-0.38836415779084
"43",-4.5,61.9,-1.40429799979945,-0.881629873948225,0.481975863279906,0.586495313020059,NA,-0.384920652780156
"44",-4.3,61.9,-1.37581842340941,-1.27368548786073,0.462999374311581,0.500783828997816,NA,-0.415714485539216
"45",-4.1,61.9,-1.26926284584159,-1.77534457549441,0.445475821695656,0.50523763662103,NA,-0.404287564067754
"46",-3.9,61.9,-1.22288691111152,-2.2354011577657,0.431860065961439,0.636011705879891,NA,-0.385891665308922
"47",-3.7,61.9,-1.20650413604228,-2.58520180024569,0.421806781629591,0.83751853500707,NA,-0.393758769069187
"48",-3.5,61.9,-1.20231517464266,-2.79240784799063,0.405141514854158,0.861340412859302,NA,-0.410455929284805
"49",-3.3,61.9,-1.27418725669361,-2.87267407619284,0.390865906127845,0.676751896513766,NA,-0.395482385989168
"50",-3.1,61.9,-1.24201447726092,-2.88355999159551,0.397467226727465,0.379240417676575,NA,-0.387413868544954
"51",-2.9,61.9,-1.2496174524641,-2.88434778707661,0.397215333548953,0.501558810551118,NA,-0.391616799624928
"52",-2.7,61.9,-1.27859987928962,-2.89033664859629,0.398726915143743,0.684141039034538,NA,-0.411918146831098
"53",-2.5,61.9,-1.34284294902593,-2.89367351718466,0.401119958138862,0.77501293686014,NA,-0.402457456497627
"54",-2.3,61.9,-1.31865981258075,-2.8931408355947,0.399361758850715,0.664072837647042,NA,-0.403985157034395
"55",-2.1,61.9,-1.14677554788903,-2.88262006632447,0.399971668831821,0.671231319673307,NA,-0.395197975010144
"56",-1.9,61.9,-1.082323315359,-2.8824928082421,0.411637255215605,0.628869043976642,NA,-0.352831946976399
"57",-1.7,61.9,-0.980198862438561,-2.91346943760301,0.421976033213305,0.526351452508301,NA,-0.341333877173376
"58",-1.5,61.9,-1.03255291760019,-2.90447843110216,0.43557208928259,0.398534747136842,NA,-0.327104905213676
"59",-1.3,61.9,-1.00537512540288,-2.56987405012394,0.448801358239115,0.190499948665172,NA,-0.326664166736979
